Year,Stock Price,Total Revenue,Net Income,Total Assets,Total Liabilities,Free Cash Flow,Dividend Per Share,Ordinary Shares
2021,"31,44",26042000000,1012000000,93394000000,43942000000,4459000000,"1,6",1224000000
2022,"37,16",26485000000,2363000000,90513000000,41643000000,1553000000,"1,6",1225000000
2023,"35,28",26640000000,2855000000,90339000000,40617000000,2963000000,"1,6",1218000000
2024,"30,71",25846000000,2744000000,88287000000,38962000000,3020000000,"1,6",1195000000
