Year,Stock Price,Total Revenue,Net Income,Total Assets,Total Liabilities,Free Cash Flow,Dividend Per Share,Ordinary Shares
2021,"60,71",18127000000,2339800000,31841900000,21463800000,2452400000,"2,04",607700000
2022,"77,77",18992800000,2707300000,31090100000,20302100000,2747400000,"2,1",598900000
2023,"62,24",20094200000,2593900000,31451700000,20751700000,2089100000,"2,26",586600000
2024,"63,14",19857200000,2496600000,31469900000,21821400000,2528500000,"2,38",559100000
