Year,Stock Price,Total Revenue,Net Income,Total Assets,Total Liabilities,Free Cash Flow,Dividend Per Share,Ordinary Shares
2021,"54,44",13770000000,1251000000,17996000000,14360000000,1481000000,"2,14",343890538
2022,"62,25",11747000000,1488000000,18178000000,13963000000,1148000000,"2,17",341377236
2023,"54,07",12653000000,960000000,18496000000,14121000000,1163000000,"2,2",341799928
2024,"80,97",13122000000,951000000,15621000000,12252000000,968000000,"2,23",340588194
